,X,Y
0,1012.39,198.35
1,601.65,1368.4
2,39.18,798.35
3,798.35,1590.15
4,1401.65,358.11
5,455.1,198.35
6,1016.41,801.65
7,293.89,1201.65
8,659.44,1201.65
9,1398.35,1429.65
10,804.88,401.65
11,470.37,-1.65
12,761.81,1001.65
13,1201.65,1168.77
14,810.54,1401.65
15,1166.53,198.35
16,1001.65,991.4
17,1401.65,132.54
18,801.65,628.39
19,201.65,245.09
20,995.84,1798.75
21,1569.12,1001.65
22,276.01,998.35
23,998.35,1541.61
24,1522.16,1601.65
25,580.28,798.35
26,639.58,601.65
27,1801.65,1267.06
28,256.72,598.35
29,1150.07,1798.35
30,401.65,1786.57
31,342.56,1401.65
32,1.65,1635.23
33,752.21,201.65
34,1577.01,1801.65
35,1801.65,156.91
36,1598.35,773.62
37,206.03,1798.35
38,1117.96,1401.65
39,598.35,1527.31
40,1201.65,500.47
41,601.65,347.7
42,222.04,401.65
43,41.69,1201.65
44,1679.14,1401.65
45,611.27,1798.35
46,1300.34,801.65
47,1001.65,623.37
48,601.65,992.45
49,401.65,348.18
50,1666.88,398.35
51,157.16,1398.35
52,1455.44,601.65
53,938.4,1201.65
54,1801.65,474.45
55,1034.02,-1.65
56,198.35,72.28
57,1798.35,1624.05
58,1401.65,1020.06
59,1518.4,-1.65
60,1798.35,874.58
61,294.27,1598.35
62,1201.65,1561.97
63,1238.03,998.35
64,1497.21,1198.35
65,1685.23,598.35
66,416.53,598.35
67,1001.65,369.19
68,201.65,802.73
69,457.65,1198.35
