0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2
1,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2
2,4,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,2
3,4,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,2
4,5,3,0,0,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,3
5,5,3,0,0,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,4
6,6,4,0,0,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,4
7,6,5,0,0,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,4
8,7,5,0,0,0,1,3,0,0,0,0,3,0,0,0,0,1,0,0,5
9,7,6,0,0,0,1,4,0,0,0,0,3,0,0,0,0,2,0,0,5
10,8,7,0,0,0,1,4,0,0,0,0,3,0,0,0,0,2,0,0,5
11,7,7,1,0,0,1,4,0,0,0,0,3,0,0,0,0,2,0,0,6
12,8,8,1,0,0,1,4,0,0,0,0,4,0,1,0,0,1,0,0,6
13,8,8,1,0,0,1,4,0,0,0,0,4,0,1,0,0,1,0,0,6
14,8,9,0,0,1,1,5,0,0,0,0,4,0,1,0,0,1,0,0,7
15,9,10,0,0,1,1,5,0,0,0,0,3,1,1,0,0,1,0,0,6
16,9,10,0,0,1,1,5,0,0,0,0,4,1,1,0,0,1,0,0,5
17,9,11,1,0,1,1,5,0,0,0,0,4,1,1,0,0,1,1,0,6
18,9,12,1,0,1,1,5,0,0,0,0,4,1,1,0,0,2,1,0,6
19,9,12,2,0,1,1,6,0,0,0,0,3,2,1,0,0,2,1,0,5
20,8,13,2,0,2,1,6,0,0,0,0,4,3,0,0,0,2,2,0,6
21,8,12,3,0,2,2,6,0,0,0,0,4,3,1,0,0,1,2,0,5
22,8,12,2,0,3,2,8,0,0,0,0,4,3,1,0,0,1,3,0,5
23,7,13,4,0,3,3,8,0,0,0,0,4,3,1,0,0,1,3,0,5
24,7,12,4,0,3,4,9,0,0,0,0,4,4,1,0,0,1,3,0,5
25,7,13,5,0,3,4,9,0,0,0,0,4,4,1,0,0,1,4,0,6
26,7,14,4,0,4,4,9,0,0,0,0,4,4,1,0,0,1,4,0,6
27,8,12,4,0,4,6,10,0,0,0,0,4,4,1,0,0,2,4,0,6
28,7,13,5,0,4,6,10,0,0,0,0,4,5,1,0,0,2,5,0,7
29,7,13,5,0,4,7,11,0,0,0,0,4,5,1,0,0,2,6,0,7
