,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1001.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,357.23,1001.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,598.35,228.14,1159.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,801.65,443.68,898.74,221.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855.28,425.43,1601.65,643.95,671.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1398.35,401.65,590.43,1120.43,1201.65,398.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001.65,999.06,832.73,785.96,801.65,1798.35,1598.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1387.57,342.78,978.98,1430.95,851.44,897.32,159.58,894.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1001.65,991.56,1201.65,798.35,831.33,1401.65,131.35,1001.65,998.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,601.65,793.93,613.99,404.85,998.35,1598.35,153.42,162.85,1201.65,1263.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1369.6,378.92,665.84,1128.18,1198.35,554.01,822.16,998.35,1601.65,1601.65,1247.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1382.03,1801.65,870.88,881.86,1601.65,201.69,601.65,652.91,148.9,401.33,1198.35,1705.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1601.65,398.35,697.04,998.35,1033.89,1401.65,1578.41,1198.35,1198.35,1001.65,598.35,798.35,796.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14.71,1398.35,600.21,369.09,201.65,1598.35,909.74,1598.35,1801.65,1233.46,201.65,998.35,654.97,526.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,607.03,1201.65,791.17,169.56,1211.56,598.35,594.13,914.02,1601.65,1369.41,398.35,1035.13,1023.79,1739.44,780.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1201.65,205.73,1.65,1401.65,206.84,1601.65,1798.35,22.48,601.65,1094.59,1201.65,1.65,1401.65,798.35,1095.84,1006.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1216.3,664.45,415.98,998.35,544.94,1198.35,798.35,1398.35,1201.65,696.27,1398.35,1.65,392.79,949.21,801.65,201.65,221.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
