,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1381.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-1.65,1207.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48.89,1398.35,1398.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,241.23,801.65,801.65,801.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1201.65,1198.35,1033.49,198.35,1001.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1142.04,1420.57,1601.65,998.35,822.02,264.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,605.7,1800.64,1601.65,1198.35,1036.77,4.55,1529.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,401.65,1801.65,801.65,601.65,398.35,998.35,1401.65,1598.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,94.01,398.35,394.06,285.83,798.35,759.06,1398.35,1150.53,942.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1296.1,1798.35,598.35,1401.65,947.36,1687.87,998.35,1601.65,1050.41,598.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1201.65,801.65,998.35,1398.35,509.48,1401.65,1598.35,108.33,460.84,1470.16,198.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,601.65,744.68,1201.65,801.65,1731.57,998.35,1360.18,1601.65,398.35,198.35,617.24,1198.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,627.57,1772.67,1001.65,422.6,998.35,1589.5,1598.35,1194.16,1509.43,1161.37,1542.0,566.05,1601.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,598.35,320.35,400.22,1598.35,1303.61,929.12,601.65,170.15,1433.32,398.35,864.87,1155.3,798.35,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,201.65,748.71,1598.35,198.35,1001.65,841.67,398.35,1398.35,802.96,1798.35,1723.79,598.35,1601.65,1001.65,1001.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1083.12,398.35,294.0,272.48,201.65,1609.85,1123.0,598.35,719.46,601.65,1654.19,913.18,1207.79,1066.39,1398.35,801.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,998.35,198.35,1.65,1050.91,598.35,618.05,673.69,508.61,1330.97,1598.35,1543.59,1332.36,198.35,1201.65,501.61,1366.85,1601.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1590.16,1598.35,681.51,835.56,464.93,842.29,1601.65,641.95,598.35,719.89,1601.65,877.52,998.35,-1.65,1226.94,37.93,1601.65,1598.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,976.8,801.65,785.75,398.35,1598.35,760.41,945.19,1798.35,401.65,198.35,209.85,1130.13,1201.65,401.65,598.35,1601.65,801.65,909.19,1798.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.65,401.65,1330.1,522.21,801.65,401.65,1224.76,598.35,801.65,201.65,414.7,1043.44,198.35,1198.35,1001.65,1001.65,1598.35,1781.96,1401.65,401.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,198.35,998.35,1801.65,925.79,1245.79,663.89,216.9,1086.78,201.65,1601.65,798.35,398.35,558.98,1428.69,1348.33,201.65,598.35,1801.65,712.24,1398.35,746.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1401.65,762.8,1515.58,1201.65,701.25,848.12,1601.65,601.65,1017.59,1728.99,1401.65,1.65,431.81,1654.15,798.35,1239.95,625.93,867.59,1208.18,17.57,423.97,1601.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
